,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,popularity
7972,167919,0.000541,0.831,0.38,0.858,1,0.166,-10.588,0,0.3779999999999999,143.053,4,0.3229999999999999,0
5932,317047,0.946,0.118,0.296,0.972,11,0.111,-23.831,1,0.0737,61.882,4,0.184,0
13485,261665,0.0748,0.495,0.5870000000000001,0.0,4,0.12,-5.353,1,0.033,139.83700000000002,4,0.265,0
7082,232240,0.143,0.846,0.5770000000000001,0.0055299999999999,7,0.431,-10.706,1,0.337,80.003,4,0.174,0
12641,198849,0.00707,0.7929999999999999,0.615,0.0005139999999999,2,0.3389999999999999,-8.077,0,0.0719,99.017,4,0.593,0
7343,153266,0.0064,0.6779999999999999,0.636,8.38e-06,1,0.177,-3.155,1,0.0782,83.071,4,0.0636,1
17070,210766,0.245,0.792,0.6,0.0,5,0.155,-5.846,0,0.102,122.1,4,0.3929999999999999,0
8958,166666,0.0289,0.625,0.853,0.0,8,0.321,-5.709,0,0.119,144.023,4,0.352,0
7897,198658,0.43,0.5589999999999999,0.379,0.0,5,0.0649,-7.217,0,0.0955,172.095,4,0.7909999999999999,1
13973,200013,0.29,0.721,0.867,2.87e-06,11,0.503,-4.302,1,0.196,127.033,4,0.639,0
8732,270714,0.00947,0.487,0.789,4.05e-06,8,0.1889999999999999,-3.69,1,0.044,150.007,4,0.0564,1
13434,140511,0.153,0.768,0.43,0.0105,0,0.408,-9.84,1,0.407,157.925,4,0.322,0
16128,228750,0.335,0.5670000000000001,0.746,0.0,6,0.392,-3.748,0,0.0511,128.03,4,0.578,0
7623,230713,0.00935,0.947,0.462,0.0457,11,0.33,-5.336,0,0.1889999999999999,127.991,4,0.414,0
8026,191082,0.105,0.784,0.612,2.3800000000000003e-05,1,0.11,-7.256,1,0.15,157.01,4,0.4639999999999999,0
5068,117080,0.8809999999999999,0.624,0.4679999999999999,6.35e-06,10,0.144,-12.162,1,0.132,74.139,4,0.952,0
8367,172933,0.128,0.743,0.529,0.0,7,0.181,-6.187,0,0.0505,102.048,4,0.4379999999999999,1
498,248173,0.0694,0.531,0.818,0.0096,2,0.263,-5.358,1,0.0452,90.767,4,0.471,1
9502,183320,0.472,0.664,0.7020000000000001,0.00352,11,0.107,-8.072000000000001,1,0.188,119.852,4,0.526,0
1081,235000,0.0341,0.66,0.627,9.64e-05,6,0.385,-10.397,0,0.124,85.44,4,0.789,1
8490,201093,0.0579999999999999,0.727,0.588,5.46e-06,1,0.0414,-9.568,1,0.0253,104.413,4,0.964,0
12383,229412,0.0984,0.442,0.585,0.391,0,0.14,-10.332,0,0.0964,97.565,4,0.1159999999999999,1
16042,240600,0.2289999999999999,0.58,0.687,0.0,6,0.109,-5.4,1,0.106,76.014,4,0.187,1
6039,213693,0.00915,0.502,0.758,0.7829999999999999,3,0.284,-9.76,1,0.0407,112.508,4,0.7290000000000001,1
2480,236160,0.107,0.4539999999999999,0.7909999999999999,2.1e-06,2,0.108,-6.013,1,0.335,127.638,4,0.7909999999999999,1
9165,224533,0.125,0.813,0.703,1.26e-06,11,0.237,-5.077,0,0.268,94.828,4,0.241,1
9554,212026,0.71,0.45,0.324,0.000679,2,0.176,-11.234000000000002,1,0.037,179.13299999999998,4,0.354,0
7375,320680,0.637,0.596,0.3929999999999999,0.0,8,0.539,-8.714,1,0.3829999999999999,107.425,4,0.36,1
9852,139929,0.311,0.6779999999999999,0.6940000000000001,2.93e-05,9,0.346,-6.382000000000001,1,0.18,128.097,4,0.4429999999999999,0
2708,160840,0.0914,0.423,0.8959999999999999,0.6679999999999999,4,0.35,-9.555,1,0.0368,99.156,4,0.732,0
1665,238491,0.000188,0.49,0.972,0.0299,10,0.368,-4.518,0,0.111,95.012,4,0.376,0
5831,160467,0.784,0.66,0.511,0.0,5,0.1169999999999999,-10.016,0,0.047,127.603,4,0.545,0
11297,128360,0.188,0.541,0.6759999999999999,0.8029999999999999,0,0.123,-7.987999999999999,1,0.135,76.23100000000001,4,0.911,0
15835,196373,0.6970000000000001,0.5529999999999999,0.586,0.0,11,0.0813,-6.319,1,0.0362,126.684,4,0.4429999999999999,1
7437,184736,0.139,0.494,0.677,0.0,10,0.16,-6.83,0,0.437,79.6,4,0.7390000000000001,0
6941,310813,0.00737,0.634,0.8540000000000001,2.49e-06,11,0.0664,-3.444,1,0.0369,148.003,4,0.564,1
2125,201066,0.795,0.484,0.59,0.00306,9,0.155,-6.662999999999999,1,0.0283,140.588,4,0.324,0
5166,166973,0.638,0.551,0.146,0.0111,8,0.203,-18.9,1,0.0488,94.497,4,0.297,0
18147,1799346,0.4679999999999999,0.737,0.8490000000000001,0.00187,0,0.0862,-5.587000000000001,0,0.0688,98.162,4,0.6859999999999999,0
17740,210367,0.0143,0.818,0.54,0.000512,6,0.099,-6.35,0,0.0544,97.064,4,0.174,1
1952,261426,0.173,0.63,0.698,0.0,10,0.0789,-4.51,1,0.0244,94.023,4,0.529,0
2163,231093,0.177,0.512,0.933,0.00129,9,0.573,-4.343,1,0.0504,100.543,4,0.71,0
13720,174800,0.0337,0.6629999999999999,0.708,0.0,8,0.0841,-4.154,1,0.0473,103.073,4,0.742,1
9251,413573,0.00842,0.6970000000000001,0.5820000000000001,0.344,11,0.0843,-12.173,0,0.114,115.929,4,0.823,0
13511,205000,0.5710000000000001,0.711,0.528,0.0,9,0.489,-7.341,0,0.0408,110.162,4,0.6559999999999999,0
13865,334253,0.0661,0.695,0.777,0.0,6,0.8740000000000001,-2.452,0,0.0817,135.01,4,0.36,1
